2026-06-14 15:34:33,608 | DEBUG | Using selector: SelectSelector
2026-06-14 15:34:35,390 | DEBUG | Using selector: SelectSelector
2026-06-14 15:34:37,207 | DEBUG | Using selector: SelectSelector
2026-06-14 15:34:41,627 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:22,115 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:33,867 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:35,962 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:38,477 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:39,560 | DEBUG | User wants to update a book
2026-06-14 15:35:48,931 | DEBUG | Using selector: SelectSelector
2026-06-14 15:35:49,101 | DEBUG | User wants to update a book
2026-06-14 15:35:49,130 | WARNING | User updating a book to mysql
2026-06-14 15:37:15,142 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:18,121 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:20,792 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:25,283 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:27,621 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:32,089 | DEBUG | Using selector: SelectSelector
2026-06-14 15:37:45,015 | DEBUG | User wants to update a book
2026-06-14 15:38:00,461 | DEBUG | Using selector: SelectSelector
2026-06-14 15:38:02,192 | DEBUG | User wants to update a book
2026-06-14 15:38:02,243 | WARNING | User updating a book to mysql
2026-06-14 15:38:18,247 | DEBUG | Using selector: SelectSelector
2026-06-14 15:38:19,400 | DEBUG | User wants to update a book
2026-06-14 15:38:37,060 | DEBUG | Using selector: SelectSelector
2026-06-14 15:38:38,550 | DEBUG | User wants to update a book
2026-06-14 15:38:38,599 | WARNING | User updating a book to mysql
2026-06-14 15:38:55,530 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:04,577 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:09,325 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:16,183 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:18,983 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:24,363 | DEBUG | Using selector: SelectSelector
2026-06-14 15:39:59,380 | DEBUG | User wants to update a book
2026-06-14 15:39:59,420 | WARNING | User updating a book to mysql
2026-06-14 15:40:13,112 | DEBUG | Using selector: SelectSelector
2026-06-14 15:40:18,707 | DEBUG | Using selector: SelectSelector
2026-06-14 15:40:24,049 | DEBUG | Using selector: SelectSelector
2026-06-14 15:42:39,647 | DEBUG | User wants to update a book
2026-06-14 15:42:39,704 | WARNING | User updating a book to mysql
2026-06-14 15:44:09,602 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:12,981 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:14,693 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:24,955 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:26,662 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:29,496 | DEBUG | User wants to update a book
2026-06-14 15:44:51,015 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:56,169 | DEBUG | Using selector: SelectSelector
2026-06-14 15:44:58,488 | DEBUG | Using selector: SelectSelector
2026-06-14 15:45:02,309 | DEBUG | User wants to update a book
2026-06-14 15:45:02,370 | WARNING | User updating a book to mysql
2026-06-14 15:45:12,731 | DEBUG | Using selector: SelectSelector
2026-06-14 15:45:13,916 | DEBUG | User wants to update a book
2026-06-14 15:45:13,961 | WARNING | User updating a book to mysql
2026-06-14 15:45:19,224 | DEBUG | Using selector: SelectSelector
2026-06-14 15:46:33,851 | DEBUG | Using selector: SelectSelector
2026-06-14 15:46:34,365 | DEBUG | User wants to update a book
2026-06-14 15:46:34,398 | WARNING | User updating a book to mysql
2026-06-14 15:46:39,400 | DEBUG | Using selector: SelectSelector
2026-06-14 15:47:25,626 | DEBUG | Using selector: SelectSelector
2026-06-14 15:47:27,276 | DEBUG | Using selector: SelectSelector
2026-06-14 15:47:30,330 | DEBUG | User wants to update a book
2026-06-14 15:47:30,371 | WARNING | User updating a book to mysql
2026-06-14 15:47:46,533 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:07,894 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:09,588 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:14,853 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:17,428 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:21,386 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:23,527 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:30,558 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:32,269 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:33,971 | DEBUG | User wants to update a book
2026-06-14 15:48:34,008 | WARNING | User updating a book to mysql
2026-06-14 15:48:42,922 | DEBUG | Using selector: SelectSelector
